loan_amnt,term,int_rate,annual_inc,installment,verification_status,grade,revol_util,loan_status
5000,0,12.42,30000.0,167.08,2,5,89.7,1
3000,0,6.03,50000.0,91.31,0,6,29.4,0
25000,1,19.03,75000.0,648.93,1,2,91.5,0
12000,0,9.91,55000.0,386.7,0,5,75.5,1
20000,0,15.27,50000.0,695.96,1,4,52.7,0
10000,0,13.49,84000.0,339.31,1,4,68.7,0
15000,0,12.42,155000.0,501.23,1,5,74.9,0
12000,0,7.9,62000.0,375.49,2,6,57.7,0
6300,0,11.71,30000.0,208.38,0,5,84.3,0
35000,1,17.27,208000.0,578.71,2,3,23.5,0
8250,1,15.96,35004.0,200.45,1,4,7.7,0
10000,0,11.71,32000.0,330.76,0,5,59.6,1
24000,0,8.9,116400.0,762.08,1,6,8.1,1
14400,0,12.69,40000.0,483.05,0,5,79.5,0
6000,0,14.65,34000.0,206.97,0,4,88.5,0
22000,0,15.96,73000.0,773.03,1,4,85.1,0
12000,0,11.71,57200.0,396.92,2,5,68.5,1
16000,0,16.77,114000.0,568.62,2,3,64.2,0
10000,0,10.65,90000.0,325.74,0,5,59.4,0
16000,1,19.03,54000.0,301.76,2,2,56.2,0
10000,0,12.69,35000.0,335.45,2,5,84.6,1
3500,0,13.49,56000.0,118.76,0,4,54.2,0
9600,0,9.91,35000.0,309.36,0,5,79.0,0
9875,0,7.9,40000.0,309.0,2,6,63.7,0
21500,1,17.58,59000.0,427.19,1,3,81.8,0
4800,0,7.9,48000.0,150.2,2,6,26.0,0
7800,0,6.03,85000.0,237.4,0,6,6.2,0
20000,0,14.27,70000.0,686.18,1,4,89.0,0
9750,0,7.51,35000.0,303.34,0,6,51.7,1
18000,1,15.96,91000.0,365.67,1,4,67.0,0
5000,0,6.03,30000.0,152.18,0,6,25.6,0
9000,0,14.65,45000.0,310.45,2,4,50.0,0
7200,0,7.9,55000.0,225.29,0,6,46.1,0
25000,1,19.42,60000.0,654.31,1,2,94.9,1
25000,0,15.27,82000.0,869.95,1,4,70.6,0
10000,0,15.96,53000.0,351.38,1,4,77.2,0
8875,0,12.69,35360.0,297.72,1,5,71.1,1
15550,0,11.71,54000.0,514.34,1,5,89.8,0
7500,0,12.69,65000.0,251.59,0,5,35.5,0
8875,0,8.9,28800.0,281.81,0,6,69.5,0
4500,0,17.27,42000.0,161.05,0,3,68.5,0
5800,0,12.42,36000.0,193.81,0,5,66.9,0
10000,0,11.71,40000.0,330.76,0,5,47.4,0
10000,0,9.91,50000.0,322.25,0,5,88.6,0
14000,0,11.71,52000.0,463.07,0,5,57.9,0
25000,1,19.03,85000.0,648.93,1,2,87.9,0
12000,0,8.9,32000.0,381.04,2,6,59.2,1
24000,0,7.9,75000.0,750.97,1,6,45.0,0
14000,0,14.27,80000.0,480.33,0,4,59.0,0
12000,0,8.9,40246.0,381.04,1,6,72.2,0
15000,1,12.69,30000.0,338.93,1,5,65.7,1
8050,0,12.69,36000.0,270.04,2,5,81.3,1
5600,0,10.65,60000.0,182.42,0,5,12.4,0
7500,0,9.91,31200.0,241.69,0,5,57.3,0
7000,0,11.71,90000.0,231.54,1,5,93.8,0
5400,0,7.9,40000.0,168.97,0,6,77.0,0
16000,0,12.42,90000.0,534.65,1,5,65.2,0
35000,1,12.42,105000.0,619.26,1,5,25.0,0
6000,1,7.9,30084.0,121.38,1,6,10.0,1
4125,1,12.69,36000.0,93.21,0,5,37.6,0
9800,0,16.29,67000.0,345.95,0,3,44.9,0
15700,1,18.25,63000.0,400.82,2,3,63.0,0
5000,0,6.62,276000.0,153.52,2,6,56.0,0
9900,0,11.71,26400.0,327.46,1,5,88.9,0
4000,0,11.71,24000.0,132.31,2,5,54.9,0
15000,0,11.71,68400.0,496.14,2,5,82.2,0
6250,0,15.96,29120.0,219.61,0,4,88.8,0
6400,0,16.29,29120.0,225.93,0,3,94.6,0
8850,1,13.49,89122.0,203.6,2,4,84.7,0
12000,0,15.27,54000.0,417.58,0,4,61.0,0
15000,0,8.9,30000.0,476.3,1,6,25.2,0
6500,0,14.27,30000.0,223.01,0,4,81.5,0
8000,0,15.96,50000.0,281.1,0,4,81.2,0
30000,1,21.28,92000.0,539.47,2,1,74.5,0
15000,0,14.65,100500.0,517.42,2,4,74.3,0
10200,0,14.27,40000.0,349.96,0,4,80.6,0
9000,0,12.42,47000.0,300.74,0,5,47.2,0
6500,0,16.29,68000.0,229.46,0,3,92.4,0
23000,1,21.28,95000.0,625.86,1,1,99.3,0
2000,0,7.9,39600.0,62.59,0,6,79.2,0
8000,0,13.49,30000.0,271.45,1,4,44.1,0
8875,0,7.51,30000.0,276.11,1,6,83.7,0
1500,0,18.64,17000.0,54.72,2,2,99.8,1
8000,0,12.42,42000.0,267.33,0,5,85.4,0
20000,1,14.65,75000.0,399.55,1,4,74.9,1
6500,0,11.71,42000.0,215.0,0,5,63.8,0
9600,0,13.49,27000.0,325.74,2,4,84.9,0
10000,0,7.9,46000.0,312.91,0,6,50.1,0
15000,0,12.42,80000.0,501.23,1,5,53.7,0
9000,0,6.62,45000.0,276.34,0,6,44.0,0
10000,0,7.9,72500.0,312.91,1,6,69.1,0
1000,0,14.65,18408.0,34.5,0,4,83.7,1
14000,0,7.9,30000.0,438.07,2,6,62.3,0
8500,0,14.27,50000.0,291.63,2,4,61.5,1
15000,1,19.03,75000.0,389.36,2,2,75.9,0
4500,0,15.96,65000.0,158.12,0,4,76.6,0
3000,0,7.51,65000.0,93.34,0,6,56.0,0
10000,0,9.91,120000.0,322.25,2,5,68.1,0
21250,1,16.77,42500.0,525.5,1,3,62.7,0
33425,1,13.49,75000.0,475.63,2,4,50.5,1
35000,1,19.42,195000.0,916.03,1,2,66.1,0
7200,0,15.27,54990.0,250.55,1,4,96.0,0
18000,1,11.71,40000.0,397.77,2,5,68.8,1
23000,0,7.9,137000.0,719.68,2,6,60.8,0
20000,1,16.77,60000.0,494.59,1,3,41.0,1
7000,0,8.9,46000.0,222.28,1,6,76.5,0
21000,0,12.69,135000.0,704.45,1,5,63.0,0
8250,0,7.51,31500.0,256.67,1,6,10.4,0
13000,0,9.91,65000.0,418.93,1,5,75.9,0
18000,0,6.62,78000.0,552.67,0,6,25.0,0
7200,0,6.03,60000.0,219.14,0,6,6.0,0
16500,0,8.9,48000.0,523.93,0,6,87.1,0
8125,0,7.9,25000.0,254.24,0,6,63.6,0
18800,0,7.51,82000.0,584.89,1,6,17.3,0
26800,0,19.03,82000.0,982.79,2,2,98.0,0
19200,0,7.9,42000.0,600.78,1,6,72.2,0
12875,1,17.58,27600.0,213.28,1,3,86.1,0
4000,0,12.42,38000.0,133.67,0,5,52.7,0
4000,0,16.29,35000.0,141.21,0,3,83.5,0
12000,0,9.91,33000.0,386.7,0,5,74.9,0
2625,0,11.71,52800.0,86.83,0,5,65.2,0
7000,0,9.91,73882.0,225.58,0,5,38.1,0
11300,0,12.69,36000.0,379.06,0,5,74.7,0
4000,0,9.91,130000.0,128.9,2,5,85.0,0
8000,0,6.03,57200.0,243.49,0,6,6.8,0
14400,0,18.25,51871.0,522.41,1,3,79.3,1
4375,0,12.42,15000.0,146.2,1,5,74.9,0
4100,0,7.51,70197.0,127.56,0,6,72.1,0
6000,0,8.9,47000.0,190.52,1,6,31.4,0
4200,1,17.27,43000.0,105.0,2,3,77.0,1
4000,0,6.62,120000.0,122.82,2,6,24.4,0
3000,0,10.65,86004.0,97.72,0,5,64.6,1
5400,0,12.69,75000.0,181.15,0,5,68.7,0
15000,0,16.29,110000.0,529.51,1,3,84.1,1
20000,1,18.64,80000.0,514.86,2,2,88.5,0
10400,0,12.69,44000.0,348.87,2,5,90.1,0
4500,1,17.58,51600.0,113.25,2,3,67.7,0
11500,0,12.42,38500.0,384.28,2,5,89.6,0
10000,0,6.62,75000.0,307.04,1,6,5.9,0
18225,1,13.49,37320.0,309.42,1,4,74.4,0
3600,0,8.9,55000.0,114.32,0,6,65.9,0
18500,1,11.71,100000.0,292.81,1,5,10.4,0
16800,1,18.25,70000.0,428.9,1,3,38.4,0
10000,0,17.27,68000.0,357.88,0,3,92.5,1
15000,0,18.25,66000.0,544.17,0,3,89.1,0
8000,0,11.71,85000.0,264.61,2,5,35.7,0
25000,1,16.77,83004.0,443.89,1,3,82.9,0
16000,0,7.9,51000.0,500.65,2,6,81.0,1
8000,0,10.65,55000.0,260.59,2,5,15.7,0
7200,0,7.51,47000.0,224.0,2,6,83.5,0
12000,0,7.51,86000.0,373.33,2,6,51.8,0
2200,0,15.27,48000.0,76.56,0,4,83.7,1
28000,1,12.42,85000.0,628.81,2,5,58.7,0
6000,0,7.51,50000.0,186.67,1,6,62.4,0
8000,1,8.9,51204.0,165.68,0,6,37.6,1
14400,0,15.27,42996.0,501.09,0,4,7.7,0
20000,1,19.03,60000.0,355.62,1,2,97.4,0
14050,0,8.9,120000.0,446.14,1,6,18.8,0
6000,0,13.49,62691.0,203.59,0,4,94.4,0
35000,1,20.3,85000.0,619.88,1,2,76.5,1
10525,0,7.9,49668.0,329.33,2,6,68.9,0
7200,0,15.96,30000.0,252.99,2,4,94.2,0
18500,1,10.65,40000.0,340.24,1,5,0.1,0
12000,0,13.49,40000.0,407.17,1,4,74.4,0
12000,0,11.71,100000.0,396.92,0,5,79.6,0
3000,0,11.71,56312.0,99.23,0,5,83.4,0
9500,0,16.29,54011.0,335.36,2,3,79.5,0
19775,0,12.42,49110.32,660.79,1,5,61.1,0
12000,1,14.65,75000.0,283.28,1,4,89.4,1
28000,1,14.27,95000.0,655.44,1,4,68.1,0
30000,0,12.42,80000.0,1002.46,1,5,94.0,0
16000,0,10.65,55000.0,521.18,1,5,89.7,0
14500,0,14.65,90000.0,500.17,1,4,46.7,0
11700,1,14.65,68500.0,276.2,1,4,39.8,0
4150,0,10.65,100000.0,135.18,0,5,25.0,0
24000,0,16.77,70000.0,852.93,1,3,91.2,0
21250,0,12.42,37000.0,710.08,1,5,69.3,1
10000,0,14.27,75000.0,343.09,2,4,71.3,0
25000,1,18.25,75000.0,638.25,1,3,72.0,0
4000,0,15.96,39000.0,140.55,2,4,93.5,0
15000,0,11.71,60000.0,496.14,0,5,70.8,0
20000,1,13.49,68000.0,460.1,1,4,79.3,0
15000,1,17.58,110000.0,377.49,1,3,81.2,0
